source,author,title,description,url,publishedAt,content,Negative,Nuetral,Positive,Date,Stock Price
Zacks.com,Zacks Equity Research,New Strong Buy Stocks for February 17th,"ARCB, AAPL, COWN, FELE, and DHI have been added to the Zacks Rank #1 (Strong Buy) List on February 17, 2022.",http://www.zacks.com/commentary/1868347/new-strong-buy-stocks-for-february-17th?cid=CS-ENTREPRENEUR-FT-zacks_1_rank_additions-1868347,2022-02-17 11:39:00+00:00,"Here are five stocks added to the Zacks Rank #1 (Strong Buy) List today:
 - Zacks
ArcBestARCB: This company that provides freight transportation services and solutions has seen the Zacks Consensus … [+1927 chars]",0.0,0.948,0.052,2022-02-14 05:00:00+00:00,165.2547917175861
Zacks.com,Nalak Das,Top 5 Nasdaq Composite Stocks Amid Index's YTD Bloodbath,"We have narrowed our search to five Nasdaq Composite listed U.S. corporate behemoths that have a robust business model. These are: AAPL, TXN, AMD, ON and TSLA.",http://www.zacks.com/stock/news/1868225/top-5-nasdaq-composite-stocks-amid-index-s-ytd-bloodbath?cid=CS-ENTREPRENEUR-FT-analyst_blog|investment_ideas-1868225,2022-02-16 12:19:00+00:00,"Wall Street is reeling under extreme volatility since the beginning of 2022. Investors are highly concerned about soaring inflation. Moreover, the uncertainty regarding the pace and magnitude of an i… [+7582 chars]",0.072,0.928,0.0,2022-02-14 05:00:00+00:00,165.2547917175861
Zacks.com,Nalak Das,Inflation May Raise Corporate America's Profits: 5 Top Picks,"We have narrowed our search to five U.S. corporate giants that have given strong guidance for 2022. These are: AAPL, TSLA, XOM, COP and AMD.",http://www.zacks.com/stock/news/1866902/inflation-may-raise-corporate-america-s-profits-5-top-picks?cid=CS-ENTREPRENEUR-FT-analyst_blog|investment_ideas-1866902,2022-02-14 11:38:00+00:00,Wall Street has been reeling under severe volatility since the beginning of this year after performing impressively in the last two pandemic-ridden years. Anticipation of a tougher-than-expected stan… [+9423 chars],0.079,0.788,0.133,2022-02-14 05:00:00+00:00,165.2547917175861
Zacks.com,Zacks Equity Research,Best Growth Stocks to Buy for February 10th,"COP, APA, and AAPL made it to the Zacks Rank #1 (Strong Buy) growth stocks list on February 10, 2022",http://www.zacks.com/commentary/1865485/best-growth-stocks-to-buy-for-february-10th?cid=CS-ENTREPRENEUR-FT-zacks_1_rank_additions|growth_additions-1865485,2022-02-10 12:36:00+00:00,"Here are three stocks with buy ranks and strong growth characteristics for investors to consider today, February 10th:
 - Zacks
ConocoPhillipsCOP: This company that is primarily involved in the exp… [+1850 chars]",0.0,0.831,0.169,2022-02-07 05:00:00+00:00,170.6754438182542
Zacks.com,Benjamin Rains,Bull of the Day: Apple Inc. (AAPL),"The iPhone maker once again flexed its financial firepower, resilient supply chain, expanding services segment, and more...",http://www.zacks.com/commentary/1863671/bull-of-the-day-apple-inc-aapl?cid=CS-ENTREPRENEUR-FT-bull_of_the_day-1863671,2022-02-08 10:00:00+00:00,Apple Inc. AAPL posted blowout first quarter fiscal 2022 financial results on January 27 that helped the market start to bounce back from the wave of selling that had plagued stocks throughout the fi… [+6805 chars],0.0,1.0,0.0,2022-02-07 05:00:00+00:00,170.6754438182542
Zacks.com,Zacks Equity Research,Best Growth Stocks to Buy for February 7th,"AAPL, TOL, and PFE made it to the Zacks Rank #1 (Strong Buy) growth stocks list on February 7, 2022",http://www.zacks.com/commentary/1863632/best-growth-stocks-to-buy-for-february-7th?cid=CS-ENTREPRENEUR-FT-zacks_1_rank_additions|growth_additions-1863632,2022-02-07 18:41:00+00:00,"Here are three stocks with buy ranks and strong growth characteristics for investors to consider today, February 7th:
 - Zacks
AppleAAPL: This company whose business primarily runs around its flags… [+1964 chars]",0.0,0.831,0.169,2022-02-07 05:00:00+00:00,170.6754438182542
MarketBeat,Sam Quirke,Apple (NASDAQ: AAPL) Knocks It Out Of The Park,"After seeing the NASDAQ index fall close to 20% from the end of December through last week, knock-out earnings from Apple (NASDAQ: AAPL) were just what the tech sector needed...",https://www.marketbeat.com/originals/apple-nasdaq-aapl-knocks-it-out-of-the-park/?utm_source=entrepreneurcom&amp;amp;utm_medium=entrepreneurcom,2022-02-02 13:00:00+00:00,"After seeing the NASDAQ index fall close to 20% from the end of December through last week, knock-out earnings from Apple (NASDAQ: AAPL) were just what the tech sector needed to steady the ship. And … [+4025 chars]",0.0,1.0,0.0,2022-01-31 05:00:00+00:00,167.79576973140473
Zacks.com,Sheraz Mian,"Top Analyst Reports for Apple, Tesla & Johnson & Johnson","Today's Research Daily features new research reports on 16 major stocks, including Apple Inc. (AAPL), Tesla, Inc. (TSLA), and Johnson & Johnson (JNJ).",http://www.zacks.com/commentary/1859914/top-analyst-reports-for-apple-tesla-johnson-johnson?cid=CS-ENTREPRENEUR-FT-research_daily-1859914,2022-01-31 17:47:00+00:00,"Monday, January 31, 2022
The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on 16 major stocks, including Apple Inc.… [+7402 chars]",0.0,0.884,0.116,2022-01-31 05:00:00+00:00,167.79576973140473
Zacks.com,Zacks Equity Research,Apple (AAPL) to Enable NFC Payments With New iOS Feature,"Apple (AAPL) is developing a new feature, which will help small businesses to accept payments via credit cards directly on their iPhones without using extra hardware",http://www.zacks.com/stock/news/1858445/apple-aapl-to-enable-nfc-payments-with-new-ios-feature?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_tech_sector-1858445,2022-01-27 17:34:00+00:00,"AppleAAPL is developing a new feature that would enable small businesses to accept payments via credit cards directly on their iPhones without utilizing any extra hardware.Per a Bloomberg report, App… [+4059 chars]",0.0,0.843,0.157,2022-01-24 05:00:00+00:00,157.79666062750994
Zacks.com,Zacks Equity Research,Can Continued Services Growth Aid Apple's (AAPL) Q1 Earnings?,Apple's (AAPL) first-quarter fiscal 2022 results are expected to reflect expanding Services business as well as solid Mac sales.,http://www.zacks.com/stock/news/1857604/can-continued-services-growth-aid-apple-s-aapl-q1-earnings?cid=CS-ENTREPRENEUR-FT-analyst_blog|earnings_preview-1857604,2022-01-26 17:57:00+00:00,"Apples AAPL first-quarter fiscal 2022 results, to be reported on Jan 27, are expected to have benefited from continued momentum in the Services business.The segment, which includes revenues from the … [+4934 chars]",0.0,1.0,0.0,2022-01-24 05:00:00+00:00,157.79666062750994
Zacks.com,Zacks Equity Research,Apple's (AAPL) Supply Chain Woes Persist Ahead of Q1 Results,"Apple (AAPL) is still facing supply chain constraints ahead of the release of Quarter 1 results for 2022, which is further complicated by Apple's launch of new products",http://www.zacks.com/stock/news/1857105/apple-s-aapl-supply-chain-woes-persist-ahead-of-q1-results?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_tech_sector-1857105,2022-01-25 19:09:00+00:00,"AppleAAPL is still grappling with supply chain constraints ahead of its first-quarter 2022 results.Per a recent 9to5Mac article, the iPhone maker is still unable to meet demand with accurate supply. … [+4577 chars]",0.048,0.952,0.0,2022-01-24 05:00:00+00:00,157.79666062750994
Zacks.com,Zacks Equity Research,Apple (AAPL) to Report Q1 Earnings: What's in the Offing?,Apple's (AAPL) first-quarter fiscal 2022 earnings are expected to have benefited from strong sales of the 5G-enabled iPhone 13 despite supply-chain constraints.,http://www.zacks.com/stock/news/1857081/apple-aapl-to-report-q1-earnings-what-s-in-the-offing?cid=CS-ENTREPRENEUR-FT-analyst_blog|earnings_preview-1857081,2022-01-25 18:09:00+00:00,"AppleAAPL is set to report first-quarter fiscal 2022 results on Jan 27, 2022.Apple did not provide revenue guidance for the first quarter of fiscal 2022, given the uncertainty around the impact of th… [+5458 chars]",0.066,0.934,0.0,2022-01-24 05:00:00+00:00,157.79666062750994
Zacks.com,Sheraz Mian,"Q4 Earnings Update and Analyst Reports for Apple, JNJ & McDonald's","In addition to a real-time Q4 scorecard, today's article features new research reports Apple (AAPL), Johnson & Johnson (JNJ), McDonald's (MCD) and others.",http://www.zacks.com/commentary/1852223/q4-earnings-update-and-analyst-reports-for-apple-jnj-mcdonald-s?cid=CS-ENTREPRENEUR-FT-research_daily-1852223,2022-01-14 17:40:00+00:00,"Friday, January 14, 2022
The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features a real-time update on the Q4 earnings season, in addidtion to… [+8927 chars]",0.0,0.884,0.116,2022-01-10 05:00:00+00:00,166.7307616292686
Zacks.com,Zacks Equity Research,Apple (AAPL) Reportedly Discussing Streaming Deal with MLB,Apple (AAPL) is reportedly discussing a deal with Major League Baseball to stream weekday national games via its Apple TV+ streaming service.,http://www.zacks.com/stock/news/1850417/apple-aapl-reportedly-discussing-streaming-deal-with-mlb?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_tech_sector-1850417,2022-01-11 16:09:00+00:00,"AppleAAPL is reportedly looking to stream Major League Baseball (MLB) games through its Apple TV+ streaming service.Per a New York Post article, the iPhone-maker is in serious discussions to stream w… [+3391 chars]",0.04,0.96,0.0,2022-01-10 05:00:00+00:00,166.7307616292686
Zacks.com,Zacks Equity Research,Apple (AAPL) to Reopen iPhone Manufacturing Factory in India,Apple's (AAPL) key manufacturing partner Foxconn will reopen the iPhone manufacturing facility in India after addressing the Labor Law Violation issues,http://www.zacks.com/stock/news/1849782/apple-aapl-to-reopen-iphone-manufacturing-factory-in-india?cid=CS-ENTREPRENEUR-FT-analyst_blog|company_news_tech_sector-1849782,2022-01-10 16:30:00+00:00,"AppleAAPL recently addressed one of its supply chain constraints stemming from Labor Law Violations in India. In December, Apple put its key manufacturing partner Foxconns factory in India on probati… [+3786 chars]",0.099,0.901,0.0,2022-01-10 05:00:00+00:00,166.7307616292686
StockNews.com,Subhasree Kar,Is Now a Good Time to Scoop Up Shares of Twitter Stock in Anticipation of a 2022 Rebound?,"Social networking service provider Twitter (TWTR) has struggled with Apple’s (AAPL) privacy changes over the past few months. The uncertainty concerning the iOS changes could be challenging for the company,...",https://stocknews.com/news/twtr-tzoo-yelp-googl-is-now-a-good-time-to-scoop-up-shares-of/,2022-01-04 16:35:09+00:00,Social networking service provider Twitter (TWTR) has struggled with Apples (AAPL) privacy changes over the past few months. The uncertainty concerning the iOS changes could be challenging for the co… [+5513 chars],0.136,0.819,0.045,2022-01-03 05:00:00+00:00,175.3592259338037
Blogspot.com,noreply@blogger.com (Unknown),Apple has become the world's first $3 trillion company,"<table><tr><td></td></tr><tr><td>Apple CEO Tim Cook greets fans outside the Apple Store on Fifth Ave in the Manhattan borough of New York, New York, U.S., September 20, 2019. REUTERS/Carlo Allegri</td></tr>
</table>Apple has taken another important step. The…",https://techncruncher.blogspot.com/2022/01/apple-has-become-worlds-first-3.html,2022-01-03 21:41:00+00:00,Apple has taken another important step. The iPhone maker surpassed a market value of $ 3 trillion on Monday - the first publicly traded company  to be worth that much. Apple shares (AAPL)  briefly ro… [+1000 chars],0.0,0.777,0.223,2022-01-03 05:00:00+00:00,175.3592259338037
Reuters,,LIVE MARKETS Dow Industrials shoots for seventh straight gain - Reuters,"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",https://www.reuters.com/markets/asia/live-markets-dow-industrials-shoots-seventh-straight-gain-2021-12-30/,2021-12-30 14:59:00+00:00,"Dec 30 - Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at markets.research@thomsonreuters.com
DOW INDUSTRIALS SHOOTS … [+2648 chars]",0.0,0.848,0.152,2021-12-27 05:00:00+00:00,174.6294721041235
Reuters,,LIVE MARKETS The Apple of the Nasdaq 100's eye - Reuters,"Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at <a href=""mailto:markets.research@thomsonreuters.com"" target=""_blank"">markets.research@thomsonreuters.com</a>",https://www.reuters.com/markets/asia/live-markets-apple-nasdaq-100s-eye-2021-12-30/,2021-12-30 13:59:00+00:00,"Dec 30 - Welcome to the home for real-time coverage of markets brought to you by Reuters reporters. You can share your thoughts with us at markets.research@thomsonreuters.com
THE APPLE OF THE NASDAQ… [+1789 chars]",0.0,0.856,0.144,2021-12-27 05:00:00+00:00,174.6294721041235
Zacks.com,Zacks Equity Research,Apple (AAPL) Stock Moves -0.65%: What You Should Know,"Apple (AAPL) closed the most recent trading day at $171.14, moving -0.65% from the previous trading session.",http://www.zacks.com/stock/news/1840788/apple-aapl-stock-moves-0-65-what-you-should-know?cid=CS-ENTREPRENEUR-FT-tale_of_the_tape|yseop_template_6-1840788,2021-12-17 22:45:19+00:00,"In the latest trading session, Apple (AAPL) closed at $171.14, marking a -0.65% move from the previous day. This move was narrower than the S&amp;P 500's daily loss of 1.03%. At the same time, the Do… [+3653 chars]",0.06,0.94,0.0,2021-12-13 05:00:00+00:00,178.60349381477917
MacRumors,Eric Slivka,AAPL Shares Hit Another All-Time High as Morgan Stanley Raises Apple Price Target to $200,"Apple shares closed at a new all-time high today, rising 3.5% to finish the regular trading day at $171.18. Shares have also gained another 1% in after-hours trading, touching $173.





Apple's stock is up over 32% this year and almost 14% in just the past m…",https://www.macrumors.com/2021/12/07/aapl-all-time-high-morgan-stanley/,2021-12-07 21:41:50+00:00,"Apple shares closed at a new all-time high today, rising 3.5% to finish the regular trading day at $171.18. Shares have also gained another 1% in after-hours trading, touching $173.
Apple's stock is… [+619 chars]",0.0,0.816,0.184,2021-12-06 05:00:00+00:00,162.00731297006112
Zacks.com,Mark Vickery,"Top Research Reports for Apple, Cisco & Linde","Today's Research Daily features new research reports on 16 major stocks, including Apple Inc. (AAPL), Cisco Systems, Inc. (CSCO), and Linde plc (LIN).",http://www.zacks.com/commentary/1835329/top-research-reports-for-apple-cisco-linde?cid=CS-ENTREPRENEUR-FT-research_daily-1835329,2021-12-03 18:01:00+00:00,"Friday, December 3, 2021
The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on 16 major stocks, including Apple Inc.… [+3929 chars]",0.0,0.884,0.116,2021-11-29 05:00:00+00:00,157.155686937873
Zacks.com,Zacks Equity Research,Apple (AAPL) Stock Sinks As Market Gains: What You Should Know,"Apple (AAPL) closed at $163.76 in the latest trading session, marking a -0.61% move from the prior day.",http://www.zacks.com/stock/news/1834785/apple-aapl-stock-sinks-as-market-gains-what-you-should-know?cid=CS-ENTREPRENEUR-FT-tale_of_the_tape|yseop_template_6-1834785,2021-12-02 22:45:10+00:00,"In the latest trading session, Apple (AAPL) closed at $163.76, marking a -0.61% move from the previous day. This change lagged the S&amp;P 500's daily gain of 1.42%. Elsewhere, the Dow gained 1.82%, … [+3574 chars]",0.056,0.791,0.153,2021-11-29 05:00:00+00:00,157.155686937873
StockNews.com,Aditi Ganguly,"Forget Apple, Buy These 3 Consumer Electronics Stocks Instead","While Apple (AAPL) remains one of the most popular consumer electronics manufacturers, its current plans to expand its product portfolio and rising raw materials costs could adversely impact its short-term...",https://stocknews.com/news/sono-aapl-vzio-hear-forget-apple-buy-these-3-consumer-electronics-stocks-instead/,2021-11-29 15:00:02+00:00,"While Apple (AAPL) remains one of the most popular consumer electronics manufacturers, its current plans to expand its product portfolio and rising raw materials costs could adversely impact its shor… [+7046 chars]",0.05,0.801,0.149,2021-11-29 05:00:00+00:00,157.155686937873
MacRumors,Eric Slivka,AAPL Stock Sets New All-Time High Following Latest Apple Car Rumors,"Right on the heels of a fresh round of rumors about Apple's autonomous car project, Apple's stock price spiked to a new all-time high today, touching $157.87 per share before pulling back slightly.





The previous all-time intraday high was set back on Sept…",https://www.macrumors.com/2021/11/18/aapl-all-time-high-car-rumors/,2021-11-18 18:13:31+00:00,"Right on the heels of a fresh round of rumors about Apple's autonomous car project, Apple's stock price spiked to a new all-time high today, touching $157.87 per share before pulling back slightly.
… [+423 chars]",0.0,0.873,0.127,2021-11-15 05:00:00+00:00,148.28073952309725
StockNews.com,Christian Tharp,Is Apple Setting Up for a Big Move?,A chart pattern known as a symmetrical triangle has formed in the chart of Apple Inc. (AAPL). This occurs when a down trending resistance combines with an up-trending support line....,https://stocknews.com/news/aapl-is-apple-setting-up-for-a-big-move-61161784/,2021-11-17 14:42:49+00:00,A chart pattern known as a symmetrical triangle has formed in the chart of Apple Inc. (AAPL). This occurs when a down trending resistance combines with an up-trending support line. If the stock break… [+2972 chars],0.0,0.922,0.078,2021-11-15 05:00:00+00:00,148.28073952309725
Zacks.com,Tracey Ryniec,A Deep Dive into the Apple (AAPL) and Amazon (AMZN) Earnings Charts,They are two trillion-dollar companies that are among the best performing stocks of the last decade. But what do their earnings track records look like?,http://www.zacks.com/stock/news/1817584/a-deep-dive-into-the-apple-aapl-and-amazon-amzn-earnings-charts?cid=CS-ENTREPRENEUR-FT-video_blog-1817584,2021-10-27 14:38:00+00:00,"This is a big week for earnings with over 1000 companies expected to report, including many FANGMAN stocks and other popular growth stocks.
This includes Apple AAPL and Amazon AMZN, two of the best … [+1600 chars]",0.0,0.733,0.267,2021-10-25 04:00:00+00:00,146.40053304697958
Zacks.com,Nalak Das,5 Technology Bigwigs Set to Beat Earnings Estimates This Week,"Five technology bigwigs (market capital > $100 billion) are slated to release earnings results this week. These are: AMD, GOOGL, TXN, AAPL and NOW.",http://www.zacks.com/stock/news/1815578/5-technology-bigwigs-set-to-beat-earnings-estimates-this-week?cid=CS-ENTREPRENEUR-FT-analyst_blog|investment_ideas-1815578,2021-10-25 09:26:00+00:00,"The third-quarter earnings season is in full swing, with more than 900 companies set to report their quarterly numbers this week. Out of these companies, market participants focus will be predominant… [+9127 chars]",0.0,1.0,0.0,2021-10-25 04:00:00+00:00,146.40053304697958
StockNews.com,Subhasree Kar,Apple vs. Tesla: Which Popular Robinhood Stock is a Better Buy?,Robinhood has become immensely popular among the new-generation of traders. Their customers are particularly interested in Apple (AAPL) and Tesla (TSL...,https://stocknews.com/news/aapl-tsla-apple-vs-tesla-which-popular-robinhood-stock-is-a-better/,2021-10-01 16:41:54+00:00,Robinhood has become immensely popular among the new-generation of traders. Their customers are particularly interested in Apple (AAPL) and Tesla (TSLA) which is evident from their placement within t… [+5920 chars],0.0,0.834,0.166,2021-09-27 04:00:00+00:00,143.2397862076202
StockNews.com,Priyanka Mandal,2 Stocks That Could Get a Boost From iPhone 13 Sales,iPhone maker Apple (AAPL) is poised to maintain its sales momentum that kicked off last year with the iPhone 12. Since many customers are ready for an...,https://stocknews.com/news/avgo-qcom-aapl-2-stocks-that-could-get-a-boost-from-iphone-13/,2021-09-30 15:56:28+00:00,"iPhone maker Apple (AAPL) is poised to maintain its sales momentum that kicked off last year with the iPhone 12. Since many customers are ready for an upgrade, the newly released iPhone 13 should und… [+5615 chars]",0.0,0.886,0.114,2021-09-27 04:00:00+00:00,143.2397862076202
Blogspot.com,noreply@blogger.com (Unknown),$75M AAPL stock options declared for Tim Cook at end of quarter,"AAPL stock options have been declared for Tim Cook and five other Apple execs. The SEC filing shows that Cook is in line for more than half a million shares, worth $75M at current value.Four other execs stand to receive shares worth $20M each, while another i…",https://techncruncher.blogspot.com/2021/09/75m-aapl-stock-options-declared-for-tim.html,2021-09-29 12:08:00+00:00,"AAPL stock options have been declared for Tim Cook and five other Apple execs. The SEC filing shows that Cook is in line for more than half a million shares, worth $75M at current value.
Four other … [+251 chars]",0.0,0.843,0.157,2021-09-27 04:00:00+00:00,143.2397862076202
Zacks.com,Nalak Das,Fed Gives Bond-Buy Tapering Signal Without Timeline: 5 Picks,"We have narrowed down our search to five U.S. corporate behemoths that have strong growth potential for the rest of 2021. These are: AAPL, MSFT, NVDA,...",http://www.zacks.com/stock/news/1799919/fed-gives-bond-buy-tapering-signal-without-timeline-5-picks?cid=CS-ENTREPRENEUR-FT-analyst_blog|investment_ideas-1799919,2021-09-23 10:41:00+00:00,"On Sep 22, Wall Street closed sharply higher ending its 4-day losing streak and recouped some of the losses it has suffered in September. The three major stock indexes the Dow, the S&amp;P 500 and th… [+8632 chars]",0.195,0.805,0.0,2021-09-20 04:00:00+00:00,141.5953646529197
Zacks.com,Kaustav Ghosh,5 Stocks to Watch Amid Surging Demand for Digital Payments,"Watch out for stocks like Apple (AAPL), Usio (USIO), EVERTEC (EVTC), Visa (V) and Alphabet (GOOGL) amid continued demand for digital payment as a safe...",http://www.zacks.com/stock/news/1799916/5-stocks-to-watch-amid-surging-demand-for-digital-payments?cid=CS-ENTREPRENEUR-FT-analyst_blog|investment_ideas-1799916,2021-09-23 10:40:00+00:00,"As the pandemic halted in-store shopping, people resorted to shopping online and preferred digital or contactless payments as a safer method for transacting. Safety has become a priority among consum… [+6122 chars]",0.0,0.833,0.167,2021-09-20 04:00:00+00:00,141.5953646529197
StockNews.com,Aditi Ganguly,Should You Buy the Dip in Apple?,"With a $2.45 trillion market cap, Apple (AAPL) is one of the largest companies in the world, with a dominating market share in the tech space. However...",https://stocknews.com/news/aapl-caj-sekey-should-you-buy-the-dip-in-apple/,2021-09-17 12:33:08+00:00,"With a $2.45 trillion market cap, Apple (AAPL) is one of the largest companies in the world, with a dominating market share in the tech space. However, a recent U.S. court ruling that struck down AAP… [+4869 chars]",0.109,0.833,0.057,2021-09-13 04:00:00+00:00,148.32068391287726
CNN,"Samantha Murphy Kelly, CNN Business",Apple set to unveil new iPhones,"Apple is expected to unveil four new iPhones on Tuesday during a virtual media event held from its Cupertino, California, headquarters.",https://www.cnn.com/2021/09/14/tech/apple-event-highlights/index.html,2021-09-14 12:27:18+00:00,"(CNN Business)Apple is expected to unveil four new iPhones on Tuesday during a virtual media event held from its Cupertino, California, headquarters.
The new devices -- the iPhone 13 mini, the iPhon… [+1497 chars]",0.0,1.0,0.0,2021-09-13 04:00:00+00:00,148.32068391287726
Zacks.com,Sweta Killa,Gaming ETFs to Gain Post Apple-Epic Games Ruling,"Gaming stocks jumped in the Sep 10 trading session, following the Apple (AAPL)-Epic Games lawsuit ruling.",http://www.zacks.com/stock/news/1795695/gaming-etfs-to-gain-post-apple-epic-games-ruling?cid=CS-ENTREPRENEUR-FT-etf_news_and_commentary-1795695,2021-09-13 16:10:00+00:00,"Gaming stocks jumped in the Sep 10 trading session, following the Apple AAPL-Epic Games lawsuit ruling. U.S. District Judge Yvonne Gonzalez Rogers in Oakland, CA ruled that the iPhone maker can no lo… [+6186 chars]",0.111,0.889,0.0,2021-09-13 04:00:00+00:00,148.32068391287726
